Longitude;Latitude;Lote;Conjunto de datos;Producto;Id obj.;Distancia(m);Curso(deg);Duración(s);Elevación(m);Tiempo;Cuenta de área;Anch. de fja.(m);Desviación Y(m);Flj cultivos(M)(tonne/h);Humedad(%);Masa de rend.(húmedo)(tonne/ha);(húmedo)Vol. Rend. (húmedo)(L/ha);(seco)Masa de rend.(tonne/ha);Vol. de rend.(seco)(L/ha);Humedad(%);Temp. aire(°C);Velocidad del viento(km/h);Temp. suelo(°C);Num. de paso;Velocidad(km/h);Prod.(ha/h);Flj cultivos(V)(m³/s);Fecha
-56,56161042;-33,76523397;Sauce Chico;Harvest;1;23;1,351;326,70;1,000;153,85;21/11/2023;Activado;10,67;0,00;40,68;3,290;7,839;11711;7,839;11711;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,017;21/11/2023
-56,56161881;-33,76522402;Sauce Chico;Harvest;1;24;1,351;326,16;1,000;153,86;21/11/2023;Activado;10,67;0,00;42,28;4,260;8,148;12171;8,148;12171;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,018;21/11/2023
-56,56162698;-33,76521395;Sauce Chico;Harvest;1;25;1,351;326,17;1,000;153,86;21/11/2023;Activado;10,67;0,00;44,44;4,930;8,564;12794;8,564;12794;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,018;21/11/2023
-56,56163502;-33,76520379;Sauce Chico;Harvest;1;26;1,351;326,33;1,000;153,85;21/11/2023;Activado;10,67;0,00;45,42;5,700;8,753;13075;8,753;13075;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,019;21/11/2023
-56,56164341;-33,76519368;Sauce Chico;Harvest;1;27;1,361;325,81;1,000;153,86;21/11/2023;Activado;10,67;0,00;46,19;5,920;8,837;13201;8,837;13201;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,019;21/11/2023
-56,56165183;-33,76518369;Sauce Chico;Harvest;1;28;1,351;325,59;1,000;153,86;21/11/2023;Activado;10,67;0,00;46,68;6,070;8,997;13440;8,997;13440;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,019;21/11/2023
-56,56165974;-33,76517341;Sauce Chico;Harvest;1;29;1,351;326,06;1,000;153,86;21/11/2023;Activado;10,67;0,00;48,73;6,170;9,392;14030;9,392;14030;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,020;21/11/2023
-56,56166743;-33,76516313;Sauce Chico;Harvest;1;30;1,341;326,58;1,000;153,87;21/11/2023;Activado;10,67;0,00;49,60;6,240;9,630;14385;9,630;14385;0,00;-17,78;0,00;-17,78;1;4,828;5,150;0,021;21/11/2023
-56,56167564;-33,76515301;Sauce Chico;Harvest;1;31;1,361;326,28;1,000;153,87;21/11/2023;Activado;10,67;0,00;50,45;6,300;9,651;14417;9,651;14417;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,021;21/11/2023
-56,56168416;-33,76514298;Sauce Chico;Harvest;1;32;1,361;325,83;1,000;153,86;21/11/2023;Activado;10,67;0,00;51,11;6,340;9,778;14606;9,778;14606;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,021;21/11/2023
-56,56169275;-33,76513299;Sauce Chico;Harvest;1;33;1,361;325,51;1,000;153,85;21/11/2023;Activado;10,67;0,00;51,51;6,370;9,853;14719;9,853;14719;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,021;21/11/2023
-56,56170071;-33,76512274;Sauce Chico;Harvest;1;34;1,351;325,90;1,000;153,84;21/11/2023;Activado;10,67;0,00;51,89;6,390;10,00;14940;10,00;14940;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,022;21/11/2023
-56,56170944;-33,76511262;Sauce Chico;Harvest;1;35;1,381;325,43;1,000;153,80;21/11/2023;Activado;10,67;0,00;52,13;6,400;9,829;14683;9,829;14683;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,022;21/11/2023
-56,56171727;-33,76510212;Sauce Chico;Harvest;1;36;1,371;326,24;1,000;153,79;21/11/2023;Activado;10,67;0,00;52,08;6,410;9,891;14775;9,891;14775;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,022;21/11/2023
-56,56172568;-33,76509179;Sauce Chico;Harvest;1;37;1,391;326,06;1,000;153,77;21/11/2023;Activado;10,67;0,00;52,87;6,430;9,897;14784;9,897;14784;0,00;-17,78;0,00;-17,78;1;5,008;5,342;0,022;21/11/2023
-56,56173351;-33,76508120;Sauce Chico;Harvest;1;38;1,381;326,69;1,000;153,76;21/11/2023;Activado;10,67;0,00;53,76;6,450;10,14;15141;10,14;15141;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,022;21/11/2023
-56,56174191;-33,76507093;Sauce Chico;Harvest;1;39;1,381;326,38;1,000;153,75;21/11/2023;Activado;10,67;0,00;54,41;6,460;10,26;15323;10,26;15323;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,023;21/11/2023
-56,56175023;-33,76506051;Sauce Chico;Harvest;1;40;1,391;326,22;1,000;153,73;21/11/2023;Activado;10,67;0,00;55,44;6,470;10,38;15503;10,38;15503;0,00;-17,78;0,00;-17,78;1;5,008;5,342;0,023;21/11/2023
-56,56175826;-33,76505013;Sauce Chico;Harvest;1;41;1,371;326,50;1,000;153,73;21/11/2023;Activado;10,67;0,00;55,42;6,490;10,52;15722;10,52;15722;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,023;21/11/2023
-56,56176633;-33,76503971;Sauce Chico;Harvest;1;42;1,381;326,71;1,000;153,72;21/11/2023;Activado;10,67;0,00;56,15;6,520;10,59;15814;10,59;15814;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,023;21/11/2023
-56,56177482;-33,76502959;Sauce Chico;Harvest;1;43;1,371;326,17;1,000;153,72;21/11/2023;Activado;10,67;0,00;56,73;6,540;10,77;16093;10,77;16093;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,024;21/11/2023
-56,56178304;-33,76501923;Sauce Chico;Harvest;1;44;1,381;326,19;1,000;153,70;21/11/2023;Activado;10,67;0,00;56,07;6,580;10,57;15791;10,57;15791;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,023;21/11/2023
-56,56179114;-33,76500891;Sauce Chico;Harvest;1;45;1,371;326,48;1,000;153,69;21/11/2023;Activado;10,67;0,00;46,06;6,600;8,748;13068;8,748;13068;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,019;21/11/2023
-56,56179951;-33,76499877;Sauce Chico;Harvest;1;46;1,371;326,13;1,000;153,68;21/11/2023;Activado;10,67;0,00;47,91;6,620;9,099;13592;9,099;13592;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,020;21/11/2023
-56,56180820;-33,76498862;Sauce Chico;Harvest;1;47;1,381;325,58;1,000;153,67;21/11/2023;Activado;10,67;0,00;41,90;6,620;7,899;11799;7,899;11799;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,017;21/11/2023
-56,56181657;-33,76497849;Sauce Chico;Harvest;1;48;1,371;325,49;1,000;153,66;21/11/2023;Activado;10,67;0,00;46,88;6,630;8,903;13300;8,903;13300;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,019;21/11/2023
-56,56182500;-33,76496833;Sauce Chico;Harvest;1;49;1,371;325,53;1,000;153,65;21/11/2023;Activado;10,67;0,00;40,35;6,630;7,663;11447;7,663;11447;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,017;21/11/2023
-56,56183345;-33,76495815;Sauce Chico;Harvest;1;50;1,371;325,45;1,000;153,65;21/11/2023;Activado;10,67;0,00;45,31;6,640;8,606;12855;8,606;12855;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,019;21/11/2023
